island,year,cadastre_footprint_km2
El Hierro,1975,0.38
La Palma,1975,2.354
La Gomera,1975,0.77
Tenerife,1975,14.49
Gran Canaria,1975,12.758
Fuerteventura,1975,1.06
Lanzarote,1975,2.274
La Graciosa,1975,0.027
El Hierro,1980,0.459
La Palma,1980,2.758
La Gomera,1980,0.867
Tenerife,1980,17.846
Gran Canaria,1980,16.205
Fuerteventura,1980,1.464
Lanzarote,1980,3.209
La Graciosa,1980,0.038
El Hierro,1985,0.495
La Palma,1985,2.985
La Gomera,1985,0.925
Tenerife,1985,20.356
Gran Canaria,1985,18.526
Fuerteventura,1985,1.855
Lanzarote,1985,3.984
La Graciosa,1985,0.04
El Hierro,1990,0.55
La Palma,1990,3.276
La Gomera,1990,1.046
Tenerife,1990,23.822
Gran Canaria,1990,21.338
Fuerteventura,1990,2.744
Lanzarote,1990,5.72
La Graciosa,1990,0.045
El Hierro,1995,0.594
La Palma,1995,3.51
La Gomera,1995,1.126
Tenerife,1995,26.853
Gran Canaria,1995,23.451
Fuerteventura,1995,3.257
Lanzarote,1995,6.466
La Graciosa,1995,0.048
El Hierro,2000,0.714
La Palma,2000,4.253
La Gomera,2000,1.263
Tenerife,2000,31.268
Gran Canaria,2000,27.23
Fuerteventura,2000,4.414
Lanzarote,2000,7.731
La Graciosa,2000,0.055
El Hierro,2005,0.772
La Palma,2005,4.79
La Gomera,2005,1.384
Tenerife,2005,36.77
Gran Canaria,2005,30.829
Fuerteventura,2005,6.141
Lanzarote,2005,9.007
La Graciosa,2005,0.067
El Hierro,2010,0.823
La Palma,2010,5.128
La Gomera,2010,1.449
Tenerife,2010,40.124
Gran Canaria,2010,33.276
Fuerteventura,2010,7.203
Lanzarote,2010,9.866
La Graciosa,2010,0.072
El Hierro,2015,0.84
La Palma,2015,5.231
La Gomera,2015,1.465
Tenerife,2015,40.739
Gran Canaria,2015,33.762
Fuerteventura,2015,7.362
Lanzarote,2015,10.015
La Graciosa,2015,0.075
El Hierro,2020,0.841
La Palma,2020,5.268
La Gomera,2020,1.469
Tenerife,2020,41.066
Gran Canaria,2020,34.087
Fuerteventura,2020,7.451
Lanzarote,2020,10.058
La Graciosa,2020,0.076
