year,buildings,neighbour_mean,ratio,is_spike
1900,25971,22.7,1145.8,True
1901,50,4351.5,0.0,False
1902,40,4385.7,0.0,False
1903,46,4392.7,0.0,False
1904,52,69.3,0.8,False
1905,195,51.5,3.8,True
1906,48,89.3,0.5,False
1907,37,433.8,0.1,False
1908,86,422.5,0.2,False
1909,120,399.5,0.3,False
1910,2102,68.8,30.5,True
1911,33,418.2,0.1,False
1912,91,450.5,0.2,False
1913,46,448.2,0.1,False
1914,64,104.3,0.6,False
1915,338,69.2,4.9,True
1916,61,118.3,0.5,False
1917,57,1503.7,0.0,False
1918,96,1506.2,0.1,False
1919,109,1464.3,0.1,False
1920,8354,106.5,78.4,True
1921,118,1490.8,0.1,False
1922,100,1606.8,0.1,False
1923,159,1606.7,0.1,False
1924,127,248.5,0.5,False
1925,774,178.2,4.3,True
1926,167,309.0,0.5,False
1927,173,1369.7,0.1,False
1928,343,1358.3,0.3,False
1929,278,1292.5,0.2,False
1930,6529,267.0,24.5,True
1931,229,1337.8,0.2,False
1932,314,1476.7,0.2,False
1933,265,1545.0,0.2,False
1934,298,495.5,0.6,False
1935,1261,379.0,3.3,True
1936,639,508.3,1.3,False
1937,265,2036.2,0.1,False
1938,493,1993.8,0.2,False
1939,468,1860.7,0.3,False
1940,9058,373.7,24.2,True
1941,272,1880.8,0.1,False
1942,437,2088.3,0.2,False
1943,307,2097.5,0.1,False
1944,522,620.2,0.8,False
1945,1903,525.8,3.6,True
1946,393,797.5,0.5,False
1947,409,3534.5,0.1,False
1948,1087,3438.0,0.3,False
1949,557,3338.3,0.2,False
1950,16745,741.7,22.6,True
1951,621,3519.3,0.2,False
1952,775,3913.8,0.2,False
1953,1001,4014.5,0.2,False
1954,951,1449.0,0.7,False
1955,3608,1388.3,2.6,False
1956,1387,1904.5,0.7,False
1957,1302,5942.3,0.2,False
1958,2914,5840.5,0.5,False
1959,1651,6077.8,0.3,False
1960,25143,2427.2,10.4,True
1961,1952,6674.7,0.3,False
1962,3769,7516.3,0.5,False
1963,2975,7776.8,0.4,False
1964,3596,3958.8,0.9,False
1965,9781,3602.7,2.7,False
1966,2420,4887.8,0.5,False
1967,2856,8494.5,0.3,False
1968,6000,7823.7,0.8,False
1969,4119,7154.5,0.6,False
1970,25051,3928.2,6.4,True
1971,2715,7756.2,0.4,False
1972,3885,9027.5,0.4,False
1973,3994,8916.8,0.4,False
1974,3488,5458.3,0.6,False
1975,14798,4333.7,3.4,True
1976,3564,6542.0,0.5,False
1977,3794,9989.2,0.4,False
1978,7277,9348.2,0.8,False
1979,5901,7954.5,0.7,False
1980,24907,5026.0,5.0,True
1981,3125,8838.0,0.4,False
1982,5060,8929.2,0.6,False
1983,4999,8798.8,0.6,False
1984,4884,5744.5,0.9,False
1985,9759,5379.8,1.8,False
1986,5058,6298.0,0.8,False
1987,6466,7201.5,0.9,False
1988,5812,7172.5,0.8,False
1989,5868,6217.8,0.9,False
1990,11828,4997.7,2.4,False
1991,4056,6367.7,0.6,False
1992,4087,6743.7,0.6,False
1993,3697,6797.0,0.5,False
1994,6914,5373.8,1.3,False
1995,8099,6280.3,1.3,False
1996,5798,7315.3,0.8,False
1997,6506,9037.7,0.7,False
1998,10680,8230.5,1.3,False
1999,7996,8748.0,0.9,False
2000,14739,7814.2,1.9,False
2001,6245,9335.0,0.7,False
2002,8520,8394.5,1.0,False
2003,6938,8454.2,0.8,False
2004,7137,7084.7,1.0,False
2005,7312,6945.0,1.1,False
2006,6772,6239.7,1.1,False
2007,6721,5501.2,1.2,False
2008,5582,4855.0,1.1,False
2009,3748,4227.0,0.9,False
2010,2456,3473.8,0.7,False
2011,2121,2537.8,0.8,False
2012,1710,1843.3,0.9,False
2013,961,1458.5,0.7,False
2014,770,1196.7,0.6,False
2015,1004,926.5,1.1,False
2016,690,810.7,0.9,False
2017,694,780.5,0.9,False
2018,734,785.2,0.9,False
2019,701,733.5,1.0,False
2020,784,723.0,1.1,False
2021,838,708.7,1.2,False
2022,661,674.2,1.0,False
2023,710,558.5,1.3,False
2024,662,435.8,1.5,False
2025,350,348.2,1.0,False
2026,56,287.0,0.2,False
