island,dataset,measure,resolution_m,year,built_km2,island_km2,note,share_of_island_pct
El Hierro,WSF Evolution,extent,30,1985,1.879,268.1,baseline year,0.7
El Hierro,WSF Evolution,extent,30,1986,1.879,268.1,,0.7
El Hierro,WSF Evolution,extent,30,1987,1.879,268.1,,0.7
El Hierro,WSF Evolution,extent,30,1988,1.879,268.1,,0.7
El Hierro,WSF Evolution,extent,30,1989,1.879,268.1,,0.7
El Hierro,WSF Evolution,extent,30,1990,1.879,268.1,,0.7
El Hierro,WSF Evolution,extent,30,1991,1.879,268.1,,0.7
El Hierro,WSF Evolution,extent,30,1992,1.879,268.1,,0.7
El Hierro,WSF Evolution,extent,30,1993,1.879,268.1,,0.7
El Hierro,WSF Evolution,extent,30,1994,1.879,268.1,,0.7
El Hierro,WSF Evolution,extent,30,1995,1.879,268.1,,0.7
El Hierro,WSF Evolution,extent,30,1996,1.879,268.1,,0.7
El Hierro,WSF Evolution,extent,30,1997,1.879,268.1,,0.7
El Hierro,WSF Evolution,extent,30,1998,1.879,268.1,,0.7
El Hierro,WSF Evolution,extent,30,1999,1.879,268.1,,0.7
El Hierro,WSF Evolution,extent,30,2000,1.879,268.1,,0.7
El Hierro,WSF Evolution,extent,30,2001,1.884,268.1,,0.7
El Hierro,WSF Evolution,extent,30,2002,1.917,268.1,,0.72
El Hierro,WSF Evolution,extent,30,2003,1.944,268.1,,0.73
El Hierro,WSF Evolution,extent,30,2004,1.958,268.1,,0.73
El Hierro,WSF Evolution,extent,30,2005,1.967,268.1,,0.73
El Hierro,WSF Evolution,extent,30,2006,1.97,268.1,,0.73
El Hierro,WSF Evolution,extent,30,2007,1.981,268.1,,0.74
El Hierro,WSF Evolution,extent,30,2008,2.001,268.1,,0.75
El Hierro,WSF Evolution,extent,30,2009,2.023,268.1,,0.75
El Hierro,WSF Evolution,extent,30,2010,2.089,268.1,,0.78
El Hierro,WSF Evolution,extent,30,2011,2.167,268.1,,0.81
El Hierro,WSF Evolution,extent,30,2012,2.217,268.1,,0.83
El Hierro,WSF Evolution,extent,30,2013,2.267,268.1,,0.85
El Hierro,WSF Evolution,extent,30,2014,2.318,268.1,,0.86
El Hierro,WSF Evolution,extent,30,2015,2.367,268.1,,0.88
El Hierro,WSF 2015,extent,10,2015,1.397,268.1,,0.52
El Hierro,WSF 2019,extent,10,2019,2.526,268.1,,0.94
El Hierro,GHSL built surface,surface,92,1975,0.862,268.2,observed,0.32
El Hierro,GHSL built surface,surface,92,1980,1.035,268.2,interpolated,0.39
El Hierro,GHSL built surface,surface,92,1985,1.215,268.2,interpolated,0.45
El Hierro,GHSL built surface,surface,92,1990,1.403,268.2,observed,0.52
El Hierro,GHSL built surface,surface,92,1995,1.45,268.2,interpolated,0.54
El Hierro,GHSL built surface,surface,92,2000,1.496,268.2,observed,0.56
El Hierro,GHSL built surface,surface,92,2005,1.523,268.2,interpolated,0.57
El Hierro,GHSL built surface,surface,92,2010,1.55,268.2,interpolated,0.58
El Hierro,GHSL built surface,surface,92,2015,1.581,268.2,near-observed,0.59
El Hierro,GHSL built surface,surface,92,2020,1.622,268.2,near-observed,0.6
La Palma,WSF Evolution,extent,30,1985,15.563,708.5,baseline year,2.2
La Palma,WSF Evolution,extent,30,1986,15.563,708.5,,2.2
La Palma,WSF Evolution,extent,30,1987,15.563,708.5,,2.2
La Palma,WSF Evolution,extent,30,1988,15.563,708.5,,2.2
La Palma,WSF Evolution,extent,30,1989,15.563,708.5,,2.2
La Palma,WSF Evolution,extent,30,1990,15.563,708.5,,2.2
La Palma,WSF Evolution,extent,30,1991,15.563,708.5,,2.2
La Palma,WSF Evolution,extent,30,1992,15.563,708.5,,2.2
La Palma,WSF Evolution,extent,30,1993,15.563,708.5,,2.2
La Palma,WSF Evolution,extent,30,1994,15.563,708.5,,2.2
La Palma,WSF Evolution,extent,30,1995,15.563,708.5,,2.2
La Palma,WSF Evolution,extent,30,1996,15.563,708.5,,2.2
La Palma,WSF Evolution,extent,30,1997,15.563,708.5,,2.2
La Palma,WSF Evolution,extent,30,1998,15.563,708.5,,2.2
La Palma,WSF Evolution,extent,30,1999,15.563,708.5,,2.2
La Palma,WSF Evolution,extent,30,2000,15.587,708.5,,2.2
La Palma,WSF Evolution,extent,30,2001,15.652,708.5,,2.21
La Palma,WSF Evolution,extent,30,2002,15.847,708.5,,2.24
La Palma,WSF Evolution,extent,30,2003,16.015,708.5,,2.26
La Palma,WSF Evolution,extent,30,2004,16.139,708.5,,2.28
La Palma,WSF Evolution,extent,30,2005,16.416,708.5,,2.32
La Palma,WSF Evolution,extent,30,2006,16.488,708.5,,2.33
La Palma,WSF Evolution,extent,30,2007,16.803,708.5,,2.37
La Palma,WSF Evolution,extent,30,2008,16.875,708.5,,2.38
La Palma,WSF Evolution,extent,30,2009,16.938,708.5,,2.39
La Palma,WSF Evolution,extent,30,2010,17.195,708.5,,2.43
La Palma,WSF Evolution,extent,30,2011,17.333,708.5,,2.45
La Palma,WSF Evolution,extent,30,2012,17.521,708.5,,2.47
La Palma,WSF Evolution,extent,30,2013,17.868,708.5,,2.52
La Palma,WSF Evolution,extent,30,2014,18.08,708.5,,2.55
La Palma,WSF Evolution,extent,30,2015,18.211,708.5,,2.57
La Palma,WSF 2015,extent,10,2015,7.375,708.5,,1.04
La Palma,WSF 2019,extent,10,2019,11.656,708.5,,1.65
La Palma,GHSL built surface,surface,92,1975,5.368,708.5,observed,0.76
La Palma,GHSL built surface,surface,92,1980,6.201,708.5,interpolated,0.88
